Localized Magento Editions,Localizadas ediciones de Magento
"Modules, Datatransfer","Módulos, Transferencia de datos"
,
An error occured. Please provide write access to the whole Magento directory and all subdirectories.,Ha ocurrido un error. Proporcione acceso de escritura a todo el directorio de Magento y todos los subdirectorios.
,
Please note:,Tenga en cuenta:
Mit Klick auf den Button „Fortsetzen“ starten Sie die Installation von Magento DE. Diese wird im Hintergrund ausgeführt.,"Al hacer clic en el botón ""Continuar"" para iniciar la instalación de Magento ES. Este se ejecutará en segundo plano."
"Bitte haben Sie etwas Geduld, dieser Vorgang kann bis zu ca. 5 min dauern.","Por favor sea paciente, esto puede tardar hasta 5 minutos."
Bitte lassen Sie Ihren Browser geöffnet und führen bis zum Abschluss KEINEN Reload durch.,"Por favor, deje su navegador abierto y no recargue la página hasta que finalice el proceso."
,
Please fill in your company details as fully as possible.,"Por favor, completa la información identificativa de tu empresa."
"These will be needed for the imprint requirements, terms and conditions or some payment methods.","Esta será necesaria para por ejemplo, los requisitos de información general, los términos y condiciones y/o algunos métodos de pago."
You can edit or complete your data any time. You will find the details under menu item,Puedes modificar o completar tus datos en cualquier momento. Encontrarás los detalles en el menú
%s &gt; Configuration,% s> Configuración
System &gt; Configuration &gt; General: Imprint,Sistema &gt;  Configuración &gt; General: Pie de página
Support Center,Centro de Soporte
