"Localized Magento Editions","Gelokaliseerde Magento Editie"
"Your consent for transferring usage and contact details through %s enables the developers and community partners to further distribute, develop, and continually improve %s. This way, you and many other merchants can profit from an up-to-date and attractive %s system plus frequent adaptions.","Met uw toestemming, kan de overdracht van het gebruiks- en de contactgegevens van de Edition ontwikkelaars en maatschappelijke partners helpen om de verspreiding en ontwikkeling van de Gelokaliseerde Magento Editions verder te ontwikkelen en voortdurend te verbeteren. Dus jij en andere handelaren profiteren van een actueel en aantrekkelijk systeem en van de regelmatige updates."
"Of course, you can decide what data you wish to be transmitted. In general, this project is only interested in information about the use of the system and, were indicated, contact details from your imprint. No further information or data will be transmitted.","Natuurlijk kun je zelf bepalen welke gegevens worden verzonden om de verdere development te ondersteunen. Het project is over het algemeen alleen in informatie geïnteresseerd over het gebruik van de installatie en zo nodig in de contactgegevens van uw installatie. Er zal geen verdere verzameling van gegevens zijn."
"Thank you very much in advance for your help.","Bij voorbaat dank voor uw hulp."
"I wish no further information to be transmitted.","Ik wil geen verdere overdracht van gegevens."
"What information will be transmitted?","Zie gegevens voor de overdracht"
"I want to help monitor the distribution of %s and also want to profit from exclusive offers from the NR App Factory and their partners.","Ik help om de distributie van de Gelokaliseerde Magento Edities te observeren en wil profiteren van de exclusieve aanbiedingen van NR App Factory & uw partners."
"This could be your exclusive offers","Dit zouden uw exclusieve aanbiedingen kunnen zijn."
"Offers could be for example:","Deze aanbiedingen zijn bijvoorbeeld:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Speciale voorwaarden die gelden wanneer van de NAF store nr.apps.com wordt gekocht"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Koop opties en speciale voorwaaarden voor Magento event tickets, bijv. Meet Magento of Developers Paradise"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Koop opties en speciale voorwaaarden voor Magento education tickets, bijv. NR Campus"
"Showing your shop name and a link to your domain on nr-apps.com","Uw winkelnaam en een link naar uw domein tonen op nr-apps.com"
"and many more","en nog veel meer"
"For your personal offers and information about %s, please see the newsfeed of your system.","Voor aanbiedingen & meer informatie over %s, zie de newsfeed van uw systeem."
"I agree to help monitor the distribution of %s and therefore agree on transmitting the information necessary to accomplish this, thereby supporting the project.","Ik ga ermee akkoord dat de contactgegevens worden doorgegeven om het bereik van de Gelokaliseerde Magento Edities in de gaten te houden en hiermee actief het project te ondersteunen."
"Server IP","Server-IP"
"Request Date","Datum van overdracht"
"Magento Version","Magento versie"
"Imprint Datas: Shop Name, Company, Street, ZIP, City, Country, Telephone, Fax, Email, Website, CEO, Owner","Contact informatie: Winkelnaam, bedrijfsnaam, adres, postcode, woonplaats, land, telefoon, fax, e-mail, website, CEO, eigenaar"
"Further information on data privacy can be found <a href=""%s"" target=""_blank"">here</a>.","Voor meer informatie over privacy, <a href=""%s"" target=""_blank"">klik hier</a>."
,
"News cannot be displayed at the moment. Please try again later.","Nieuws kan op dit moment niet worden getoond. Probeer het later opnieuw."
"Store ""%s"" already exists.","Winkel ""%s"" bestaat al."
,
"FireGento German Setup","FireGento German Setup"
"Extension Setup","Extension setup"
"Tax Settings","BTW instellingen"
"Checkout Agreements","Algemene voorwaarden"
,
"FireGento PDF","FireGento PDF"
,
"Autoshipping","Autoshipping"
,
"Cash On Delivery","Contant bij afhalen"
,
"Debit","Debet"
"Bank Data Setup","Bankgegevens setup"
,
"Remove Customer Account Links","Verwijder Customer Account links"
,
"Configuration","Configuratie"
,
"Display Copyright Notice in Imprint","Weergave copyright in imprint"
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> is een project van de Magento gemeenschap"
"powered by","powered by"
,
"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","Contant bij afhalen - extra vergoeding %s"
,
"This could take a little while","Dit kan een tijdje duren"
"Country Selection","Land selecteren"
"Please go to Backend now in order to complete the preconfiguration.","Ga dan naar Backend nu om de preconfiguratie voltooien."
,
"Next Page","Volgende pagina"
"Previous Page","Vorige pagina"
"Setup %s","%s setup"
"%s Setup","%s setup"
"Page %s of %s","Pagina %s van %s"
"Languages, Modules, Datatransfer","Talen, Modules, Data Transfer"
"Modules, Datatransfer","Modules, Data Transfer"
,
"An error occured. Please provide write access to the whole Magento directory and all subdirectories.","Er is een fout opgetreden. Gelieve schrijftoegang te geven tot de hele Magento map en alle submappen."
,
"Please note:","Let op:"
"Mit Klick auf den Button „Fortsetzen“ starten Sie die Installation von Magento DE. Diese wird im Hintergrund ausgeführt.","Door te klikken op de knop ""Doorgaan"" gaat u de installatie van de Gelokaliseerde Magento Editie starten. Dit proces draait op de achtergrond."
"Bitte haben Sie etwas Geduld, dieser Vorgang kann bis zu ca. 5 min dauern.","Wij vragen u om uw geduld. De installatie kan tot 5 minuten."
"Bitte lassen Sie Ihren Browser geöffnet und führen bis zum Abschluss KEINEN Reload durch.","Houd uw browser geopend. Sluit de pagina niet af vóór de voltooiing van het proces."
,
"Please fill in your company details as fully as possible.","Vul uw gegevens over het bedrijf zo volledig mogelijk in."
"These will be needed for the imprint requirements, terms and conditions or some payment methods.","U kunt deze nodig hebben voor de algemene informatie-eisen, voorwaarden, intrekkingsregels of bepaalde betaalmethoden."
"You can edit or complete your data any time. You will find the details under menu item","U kunt op elk moment alle gegevens bewerken of voltooien. U bereikt deze informatie via "
"%s &gt; Configuration","%s &gt; configuratie"
"System &gt; Configuration &gt; General: Imprint","Systeem &gt; Configuratie &gt; Algemeen: Imprint"
"Support Center","Helpdesk"
