"Localized Magento Editions","Ediții Magento Localizate"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Opțiuni achiziție și condiții speciale pentru bilete educație Magento, de ex. NR Campus"
"Showing your shop name and a link to your domain on nr-apps.com","Afișarea numelui magazinului dvs și a unei legături către domeniul dvs pe nr-apps.com"
"and many more","și multe altele"
"For your personal offers and information about %s, please see the newsfeed of your system.","Pentru ofertele dvs personale și informații despre %s, consultați știrile sistemului dvs."
"I hereby agree that contact information are transmitted to verify the reach of the Localized Magento Editions and actively support the project.","Prin prezenta sunt de acord ca informațiile de contact să fie transmise pentru a verifica răspândirea Edițiilor Localizate Magento și pentru a sprijini activ proiectul."
"Server IP","IP Server"
"Transfer date","Dată transfer"
"Magento version","Versiune Magento"
"Contact information: Store name, company, address, postal code, city, country, telephone, fax, email, website, CEO, owner","Informații de contact: Nume magazin, companie, adresă, cod poștal, oraș, țară, telefon, fax, e-mail, website, CEO, proprietar"
"For more information about privacy, click <a href=""%s"" target=""_blank"">here</a>.","Pentru mai multe informații despre intimitate, click<a href=""%s"" target=""_blank"">aici</a>."
"News cannot be displayed at the moment. Please try again later.","Știrile nu pot fi afișate momentan. Încercați mai târziu."
"Store ""%s"" already exists.","Magazinul ""%s"" există deja."
"FireGento German Setup","Setare FireGento Germană"
"Extension Setup","Setare Extensie"
"Tax Settings","Setări Taxe"
"Checkout Agreements","Acorduri Finalizare Comandă"
"FireGento PDF","PDF FireGento"
"Autoshipping","Expediere Automată"
"Cash On Delivery","Plata Ramburs"
"Debit","Debit"
"Bank Data Setup","Setare Date Bancă"
"Remove Customer Account Links","Eliminare Legături Cont Client"
"Configuration","Configurație"
"Display Copyright Notice in Imprint","Afișare Notificare Drepturi de autor în Imprimare"
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> e un proiect al comunității Magento"
"powered by","cu sprijinul"
"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","Phoenix_CashOnDelivery::Veți fi taxat o taxă suplimentară de %s"
"This could take a little while","Ar putea dura puțin"
"Country Selection","Selecție Țară"
"Please go to Backend now in order to complete the preconfiguration.","Navigați la Interfața de Administrare acum pentru a finaliza preconfigurarea."
"Next Page","Pagina Următoare"
"Previous Page","Pagina Anterioară"
"Setup %s","Instalare %s"
"%s Setup","% Instalare"
"Page %s of %s","Pagina %s din %s"
"Languages, Modules, Datatransfer","Limbi, Module, Transfer de date"
"Modules, Datatransfer","Module, Transfer de datez"
"An error occured. Please provide write access to the whole Magento directory and all subdirectories.","A apărut o eroare. Vă rugăm asigurați drepturi de scriere pentru tot directorul Magento și toate subdirectoarele."
"Please note:","Rețineți:"
"By clicking on the button ""Continue"" you will start the installation of the Localized Magento Edition %s. This process runs in the background.","Făcând click pe butonul ""Continuare"" veți porni instalarea Ediției Localizate Magento %s. Acest proces rulează în fundal."
"Please be patient. The installation may take up to 5 minutes.","Vă rugăm să aveți răbdare. Instalarea ar putea dura până la 5 minute."
"Please keep your browser open. DO NOT RELOAD the page before completion of the process.","Vă rugăm țineți browserul deschis. NU REÎNCĂRCAȚI pagina până la terminarea procesului."
"Please fill in your details on the company as fully as possible.","Vă rugăm completați-vă detaliile referitoare la companie cât mai complet cu putință."
"You may need this for the general information requirements, terms and conditions, revocation rules or some payment methods.","S-ar putea să aveți nevoie de asta pentru necesități generale de informații, termeni și condiții, reguli de revocare sau unele metode de plată."
"You can edit or complete all data at any time. You will reach this details over","Puteți modifica sau completa oricând toate datele. Veți ajunge la aceste detalii peste"
"%s &gt; Configuration","%s &gt; Configurație"
"System &gt; Configuration &gt; General: Imprint","Sistem &gt; Configurație &gt; General: Imprimare"
"Support Center","Centru Asistență"
